partner,day,no_of_registrations,no_orders,aum,aov,fti_count,fti_amount
ET money,2026-04-09,231,37,1917601.2321999997,51827.06032972972,7,496171.36439999996
ET money,2026-04-08,166,25,3634858.8161999993,145394.35264799997,3,365155.8362
ET money,2026-04-07,241,31,3024570.0349,97566.77531935483,18,2239655.9035
ET money,2026-04-06,249,69,8741067.4467,126682.13690869564,12,544275.0543
ET money,2026-04-05,292,4,679178.71,169794.6775,2,152774.18329999998
ET money,2026-04-04,161,0,0.0,0.0,0,
ET money,2026-04-03,162,8,123486.85999999999,15435.857499999998,9,1638716.0957
ET money,2026-04-02,214,51,7535887.218299999,147762.49447647057,7,967315.5009000001
ET money,2026-04-01,167,0,0.0,0.0,0,
ET money,2026-03-31,188,4,185176.89,46294.2225,8,543914.001
ET money,2026-03-30,137,52,7891744.5711,151764.31867500002,10,1601118.3931
ET money,2026-03-29,103,4,123415.67,30853.9175,4,359707.8676
ET money,2026-03-28,130,4,61707.84,15426.96,8,1602392.2755999998
ET money,2026-03-27,136,40,4688918.8024,117222.97006,11,1225167.8777
ET money,2026-03-26,153,0,0.0,0.0,0,
ET money,2026-03-25,197,38,11629679.661000002,306044.2016052632,12,1569331.5019
ET money,2026-03-24,241,16,1644556.8730000001,102784.80456250001,6,3587231.6705
ET money,2026-03-23,196,47,4611380.643600001,98114.48177872342,0,
ET money,2026-03-22,127,8,123663.70000000001,15457.962500000001,8,811092.3562
ET money,2026-03-21,201,16,247327.39999999997,15457.962499999998,5,308874.1175
ET money,2026-03-20,179,41,5665581.478400001,138184.9141073171,5,689144.3463999999
ET money,2026-03-19,273,4,61814.020000000004,15453.505000000001,2,194992.948
ET money,2026-03-18,233,25,3046336.3686,121853.454744,12,2415505.6799999997
ET money,2026-03-17,736,29,9168889.530599998,316168.60450344824,7,682976.0689000001
ET money,2026-03-16,817,56,8119601.637,144992.886375,11,3021094.717
ET money,2026-03-15,175,0,0.0,0.0,0,
ET money,2026-03-14,178,0,0.0,0.0,0,
ET money,2026-03-13,216,26,3487760.9817,134144.65314230768,6,629195.1969999999
ET money,2026-03-12,196,22,4145879.3706,188449.0623,11,1290780.3185999999
ET money,2026-03-11,225,18,4386598.0312,243699.8906222222,4,1666514.8131999997
ET money,2026-03-10,269,16,1906764.8446,119172.8027875,10,1277205.2338
ET money,2026-03-09,241,89,13701634.7764,153950.95254382023,6,732673.6444
ET money,2026-03-08,204,0,0.0,0.0,0,
ET money,2026-03-07,309,6,120453.29000000001,20075.548333333336,11,1944039.4122000001
ET money,2026-03-06,293,27,4152638.9168000007,153801.441362963,19,2883714.8773999996
ET money,2026-03-05,234,50,6389949.6116,127798.992232,9,2118026.7059000004
ET money,2026-03-04,331,78,10996085.1661,140975.4508474359,14,1898391.8058
ET money,2026-03-03,307,0,0.0,0.0,0,
ET money,2026-03-02,320,97,12066312.6176,124394.97543917525,17,1998500.9838
ET money,2026-03-01,248,0,0.0,0.0,0,
ET money,2026-02-28,205,0,0.0,0.0,0,
ET money,2026-02-27,268,35,4590172.0025,131147.7715,13,1741890.9489
ET money,2026-02-26,318,29,3939411.2013000003,135841.76556206896,10,1538263.5420000001
ET money,2026-02-25,390,40,3943997.953,98599.948825,19,1928463.4078000002
ET money,2026-02-24,1820,34,6816840.8588,200495.31937647058,6,1113314.1171
ET money,2026-02-23,268,83,12887818.285299998,155274.91909999997,9,1660780.7430999998
ET money,2026-02-22,263,0,0.0,0.0,0,
ET money,2026-02-21,244,0,0.0,0.0,0,
ET money,2026-02-20,262,73,9012170.834,123454.39498630138,11,2136279.6273999996
ET money,2026-02-19,274,1,64027.8744,64027.8744,13,1991614.8185
ET money,2026-02-18,341,30,3761211.7209,125373.72403,12,2534727.485
ET money,2026-02-17,403,29,1686314.4069,58148.77265172414,20,1417719.3773
ET money,2026-02-16,257,84,11795394.1201,140421.35857261906,7,972769.6305999999
ET money,2026-02-15,563,6,300879.26,50146.543333333335,17,1514951.0969
ET money,2026-02-14,278,6,120351.7,20058.616666666665,14,2679602.4924
ET money,2026-02-13,445,45,5409167.967499999,120203.7326111111,16,2541302.2181999995
ET money,2026-02-12,1120,38,4731956.490999999,124525.17081578946,17,2518623.5665
ET money,2026-02-11,378,39,4373804.7137,112148.83881282051,15,1241028.255
ET money,2026-02-10,729,41,3730612.2580999997,90990.5428804878,13,1395857.7616
ET money,2026-02-09,908,68,8789098.3431,129251.44622205883,12,1786708.3468
ET money,2026-02-08,324,12,240545.8,20045.483333333334,16,1446544.5223
ET money,2026-02-07,405,6,60136.450000000004,10022.741666666667,19,2218186.3262
ET money,2026-02-06,294,22,2836811.0255000005,128945.95570454547,3,582484.751
ET money,2026-02-05,417,37,4124292.5824000007,111467.36709189191,10,1024232.7276
ET money,2026-02-04,456,41,5422766.777199999,132262.6043219512,16,1514092.7948999999
ET money,2026-02-03,507,33,4252896.6665,128875.65656060608,15,1793428.9443
ET money,2026-02-02,450,107,11940165.737499999,111590.33399532709,14,1753534.7746999997
ET money,2026-02-01,456,18,721213.87,40067.43722222222,36,3582819.1364000007
ET money,2026-01-31,457,0,0.0,0.0,0,
ET money,2026-01-30,403,31,3437436.1667,110885.03763548387,18,2031452.7589000002
ET money,2026-01-29,420,32,4967147.8805,155223.371265625,18,1831539.2454000001
ET money,2026-01-28,314,18,2701984.5038000005,150110.25021111115,4,1099453.9087
ET money,2026-01-27,358,88,14997129.409100002,170421.9251034091,9,1816463.5506000002
ET money,2026-01-26,257,6,120168.75000000001,20028.125000000004,15,1173372.8791999999
ET money,2026-01-25,246,6,60084.37,10014.061666666666,18,1849297.0648999999
ET money,2026-01-24,276,1,300000.0,300000.0,8,1182416.4753999999
ET money,2026-01-23,422,47,5847436.146799999,124413.53503829785,19,1682779.3436999999
ET money,2026-01-22,1043,32,5038759.081499999,157461.22129687498,11,1349991.7741
ET money,2026-01-21,316,16,2094844.8754000003,130927.80471250002,11,1711522.2947999998
ET money,2026-01-20,430,19,2218245.3317999993,116749.75430526312,10,863586.3433
ET money,2026-01-19,308,91,12567666.2027,138106.2220076923,11,1742276.5904
ET money,2026-01-18,379,0,0.0,0.0,0,
ET money,2026-01-17,430,0,0.0,0.0,0,
ET money,2026-01-16,259,72,9061653.5204,125856.29889444445,19,2196584.4821999995
ET money,2026-01-15,404,6,60101.32,10016.886666666667,19,1925783.8408
ET money,2026-01-14,454,52,7338171.072700002,141118.67447500004,27,3227183.452
ET money,2026-01-13,483,26,3869187.7696999996,148814.91421923076,8,973449.2492999999
ET money,2026-01-12,340,89,13163558.572400002,147905.1524988764,13,1876742.8716
ET money,2026-01-11,646,0,0.0,0.0,0,
ET money,2026-01-10,445,6,60086.72,10014.453333333333,23,2500793.2236
ET money,2026-01-09,1853,27,4770562.3736,176687.49531851851,9,1154080.8739
ET money,2026-01-08,503,41,4368197.0575,106541.39164634146,16,1285283.2365
ET money,2026-01-07,621,43,5227068.0963,121559.72316976744,16,2621240.8049000003
ET money,2026-01-06,678,38,6082159.059899999,160056.81736578944,17,2654703.5697999997
ET money,2026-01-05,612,122,16459788.0024,134916.29510163935,19,3332547.8271000003
ET money,2026-01-04,654,0,0.0,0.0,0,
ET money,2026-01-03,941,6,180154.45,30025.74166666667,23,3185857.2778
ET money,2026-01-02,1219,65,7622607.4354,117270.88362153847,41,5014301.559700001
ET money,2026-01-01,2910,55,8499798.165299999,154541.78482363635,20,2727223.1202999996
ET money,2025-12-31,632,57,8907361.6577,156269.50276666667,16,2052871.3781
ET money,2025-12-30,903,53,7583197.750700001,143079.20284339623,31,4289643.9956
ET money,2025-12-29,561,89,13944434.967199998,156679.0445752809,22,3519249.9713999997
ET money,2025-12-28,532,0,0.0,0.0,0,
ET money,2025-12-27,755,0,0.0,0.0,0,
ET money,2025-12-26,705,44,4850661.530199999,110242.30750454543,17,2180543.5184
ET money,2025-12-25,1462,6,60001.91,10000.318333333335,7,692582.4315
ET money,2025-12-24,576,33,4745575.2104,143805.3094060606,15,1896179.0199
ET money,2025-12-23,767,43,5369364.739899999,124868.94743953487,19,2143334.904
ET money,2025-12-22,622,68,4903970.537599999,72117.21378823528,14,2151204.6944999998
ET money,2025-12-21,504,0,0.0,0.0,0,
ET money,2025-12-20,1418,6,120137.25,20022.875,10,587373.0056
ET money,2025-12-19,566,32,3816292.1391000003,119259.12934687501,19,2242571.6494
ET money,2025-12-18,893,34,3539166.3921000003,104093.12917941177,20,2085593.6170000003
ET money,2025-12-17,2722,46,8315995.8388,180782.51823478262,17,2282293.7383000003
ET money,2025-12-16,779,32,6591321.9553,205978.811103125,18,2902126.1787
ET money,2025-12-15,713,95,12606249.128600001,132697.35924842107,23,3106657.4301
ET money,2025-12-14,821,0,0.0,0.0,0,
ET money,2025-12-13,2475,0,0.0,0.0,0,
ET money,2025-12-12,795,26,4018577.0252000005,154560.65481538462,13,1871754.7159000002
ET money,2025-12-11,2057,23,4135096.5307999994,179786.8056869565,12,1994630.2785999996
ET money,2025-12-10,3165,43,8441893.6596,196323.10836279072,24,3625252.4791
ET money,2025-12-09,839,34,5204519.2665,153074.09607352942,16,1856026.7631
ET money,2025-12-08,1026,110,15058708.370399999,136897.34882181816,19,2612899.7779
ET money,2025-12-07,800,6,179761.29,29960.215,21,2552202.2195
ET money,2025-12-06,5008,0,0.0,0.0,0,
ET money,2025-12-05,890,38,3341284.7369,87928.54570789474,30,2594377.6881000004
ET money,2025-12-04,988,48,5389576.6954,112282.84782083333,23,2765526.9724
ET money,2025-12-03,1156,53,6026295.174300001,113703.68253396229,33,2666904.2561
ET money,2025-12-02,1026,48,5207278.1071,108484.96056458332,27,2726233.4124
ET money,2025-12-01,916,81,12442262.2135,153608.17547530864,29,3082282.9950999995
ET money,2025-11-30,784,6,119766.27000000002,19961.045000000002,13,3212337.6651
ET money,2025-11-29,1007,6,119766.27000000002,19961.045000000002,16,1104674.2305
ET money,2025-11-28,963,21,4644909.396,221186.1617142857,8,1565280.0598
ET money,2025-11-27,1220,34,5636977.6954,165793.46162941176,17,2619900.0111000002
ET money,2025-11-26,1067,42,7921369.0058,188604.02394761905,15,2743752.3094
ET money,2025-11-25,913,17,2354242.5791999996,138484.8576,11,1276502.4741
ET money,2025-11-24,945,60,8401809.262100002,140030.15436833337,10,1923871.4237000002
ET money,2025-11-23,842,0,0.0,0.0,0,
ET money,2025-11-22,1138,0,0.0,0.0,0,
ET money,2025-11-21,1296,26,2508797.2444,96492.20170769232,13,1575380.6390000002
ET money,2025-11-20,1315,31,3882025.0083999997,125226.61317419354,12,1527377.4735000003
ET money,2025-11-19,1694,34,5809062.7530000005,170854.78685294118,27,3917656.6715
ET money,2025-11-18,2291,25,3527709.6196999997,141108.384788,17,3734306.3208999997
ET money,2025-11-17,2409,86,10513426.891600002,122249.1499023256,14,1543032.2873999998
ET money,2025-11-16,2434,6,249444.71000000002,41574.11833333334,21,3227614.712
ET money,2025-11-15,3208,9,115188.36,12798.706666666667,22,2853298.7434
ET money,2025-11-14,243,16,2061877.5114999998,128867.34446874999,7,799123.8119000001
ET money,2025-11-13,449,13,3183563.1644,244889.4741846154,7,861381.1952
ET money,2025-11-12,327,12,1179127.3133,98260.60944166667,7,2239719.1291
ET money,2025-11-11,403,14,1344591.0942,96042.22101428571,6,670156.092
ET money,2025-11-10,431,40,6140888.730799999,153522.21826999998,8,701819.2278999999
ET money,2025-11-09,309,0,0.0,0.0,0,
ET money,2025-11-08,364,0,0.0,0.0,0,
ET money,2025-11-07,440,17,2923576.1240999997,171975.0661235294,10,1557769.1647
ET money,2025-11-06,14519,93,18836075.985799998,202538.45146021503,23,4524620.619899999
ET money,2025-11-05,6096,0,0.0,0.0,0,
ET money,2025-11-04,393,30,2685285.4299999997,89509.51433333333,16,1521497.4262000003
ET money,2025-11-03,319,60,7013317.2159,116888.620265,16,1089159.7382
ET money,2025-11-02,350,5,100188.70999999999,20037.742,11,1086519.8794
ET money,2025-11-01,602,2,3032.0,1516.0,12,1826920.9371
ET money,2025-10-31,323,11,1492084.6857,135644.06233636363,4,349590.6426
ET money,2025-10-30,599,20,4215406.845000001,210770.34225000005,10,1896353.8931999998
ET money,2025-10-29,413,16,5600211.261600001,350013.20385000005,4,766269.4106
ET money,2025-10-28,783,31,5517204.047899999,177974.32412580642,23,2264983.6621000003
ET money,2025-10-27,352,39,5264029.8863,134975.1252897436,9,2687771.384
ET money,2025-10-26,369,5,100135.59,20027.118,7,201116.43630000003
ET money,2025-10-25,400,15,500677.94,33378.52933333333,16,549624.3481999999
ET money,2025-10-24,494,27,3539296.1047,131085.0409148148,8,1409662.3683000002
ET money,2025-10-23,383,57,7000363.8636,122813.40111578947,10,849500.8583
ET money,2025-10-22,544,0,0.0,0.0,0,
ET money,2025-10-21,348,0,0.0,0.0,0,
ET money,2025-10-20,254,48,4853336.9834,101111.18715416668,14,720123.4924
ET money,2025-10-19,358,0,0.0,0.0,0,
ET money,2025-10-18,462,5,300520.5,60104.1,10,1389828.4146
ET money,2025-10-17,380,20,2478099.2199,123904.960995,12,1056306.1757999999
ET money,2025-10-16,324,15,3507084.6853,233805.64568666666,7,1491850.8968999998
ET money,2025-10-15,337,34,3616508.9243000005,106367.90953823531,13,1581523.3843
ET money,2025-10-14,359,30,3922253.6173,130741.78724333334,16,2261149.3249
ET money,2025-10-13,320,53,6798029.6655,128264.71066981132,9,905266.6288
ET money,2025-10-12,318,0,0.0,0.0,0,
ET money,2025-10-11,341,0,0.0,0.0,0,
ET money,2025-10-10,338,18,2383404.7926000003,132411.37736666668,9,2003930.3883999998
ET money,2025-10-09,324,30,3292421.1383999996,109747.37127999999,14,1092240.9457
ET money,2025-10-08,361,18,2203468.7882000003,122414.93267777779,9,1051852.5457000001
ET money,2025-10-07,516,31,3202872.8224,103318.47814193548,22,2520120.6180000002
ET money,2025-10-06,997,76,8861778.6272,116602.35035789474,18,3210255.9216
ET money,2025-10-05,2345,1,298683.5704,298683.5704,16,2310279.2989999996
ET money,2025-10-04,2627,0,0.0,0.0,0,
ET money,2025-10-03,1838,42,5461532.3842,130036.48533809524,15,1514794.8368
ET money,2025-10-02,1965,10,500176.48000000004,50017.648,22,2767216.534
ET money,2025-10-01,1836,41,4476801.689300001,109190.28510487807,37,3471014.9132000003
ET money,2025-09-30,1826,24,3045663.5023000003,126902.64592916668,18,2879615.9263
ET money,2025-09-29,1321,50,6340807.112299999,126816.14224599999,14,1539632.6214
ET money,2025-09-28,1362,0,0.0,0.0,0,
ET money,2025-09-27,2064,0,0.0,0.0,0,
ET money,2025-09-26,3176,21,2887320.963900001,137491.4744714286,12,1243222.5699
ET money,2025-09-25,3814,32,3229478.3091999996,100921.19716249999,24,2894568.848
ET money,2025-09-24,7205,39,8125505.9068,208346.3053025641,25,5387672.6132
ET money,2025-09-23,3415,19,2990146.3361999993,157376.1229578947,18,2197770.3108
ET money,2025-09-22,1227,34,4397490.738100001,129337.96288529414,11,1219687.956
ET money,2025-09-21,1134,0,0.0,0.0,0,
ET money,2025-09-20,1573,10,200019.56,20001.956,23,1928764.5866999999
ET money,2025-09-19,1945,10,1194672.0722,119467.20722000001,12,2053914.2799
ET money,2025-09-18,1949,13,1576798.5354000002,121292.19503076925,5,575336.2326
ET money,2025-09-17,2488,20,1471559.5011000002,73577.97505500002,20,2088152.5095999998
ET money,2025-09-16,2289,5,365960.21070000005,73192.04214,6,368076.0481
ET money,2025-09-15,778,9,1141302.7699,126811.41887777777,3,651318.972
ET money,2025-09-14,385,0,0.0,0.0,0,
ET money,2025-09-13,307,0,0.0,0.0,0,
ET money,2025-09-12,74,0,0.0,0.0,0,
ET money,2025-09-11,3,0,0.0,0.0,0,
ET money,2025-09-10,3,0,0.0,0.0,0,
ET money,2025-09-09,1,3,328.6186,109.53953333333334,0,
ET money,2025-09-08,4,0,0.0,0.0,0,
ET money,2025-09-06,1,0,0.0,0.0,0,
ET money,2025-09-03,2,2,101140.9087,50570.45435,0,
ET money,2025-09-02,1,0,0.0,0.0,0,
ET money,2025-09-01,2,0,0.0,0.0,0,
ET money,2025-08-31,2,0,0.0,0.0,0,
ET money,2025-08-30,1,0,0.0,0.0,0,
ET money,2025-08-27,2,0,0.0,0.0,0,
ET money,2025-08-26,1,0,0.0,0.0,0,
ET money,2025-08-24,1,0,0.0,0.0,0,
ET money,2025-08-21,3,0,0.0,0.0,0,
ET money,2025-08-19,1,0,0.0,0.0,0,
ET money,2025-08-16,1,0,0.0,0.0,0,
ET money,2025-08-15,1,0,0.0,0.0,0,
ET money,2025-08-11,1,0,0.0,0.0,0,
ET money,2025-08-10,2,0,0.0,0.0,0,
ET money,2025-08-09,1,0,0.0,0.0,0,
ET money,2025-08-08,1,0,0.0,0.0,0,
ET money,2025-08-06,2,0,0.0,0.0,0,
ET money,2025-08-03,2,0,0.0,0.0,0,
ET money,2025-08-02,2,0,0.0,0.0,0,
ET money,2025-07-31,2,0,0.0,0.0,0,
ET money,2025-07-30,1,0,0.0,0.0,0,
ET money,2025-07-29,1,0,0.0,0.0,0,
ET money,2025-07-25,4,0,0.0,0.0,0,
ET money,2025-07-24,1,0,0.0,0.0,0,
ET money,2025-07-23,1,0,0.0,0.0,0,
ET money,2025-07-20,1,0,0.0,0.0,0,
ET money,2025-07-19,2,0,0.0,0.0,0,
ET money,2025-07-18,1,0,0.0,0.0,0,
ET money,2025-07-17,1,0,0.0,0.0,0,
ET money,2025-07-16,2,0,0.0,0.0,0,
ET money,2025-07-13,1,0,0.0,0.0,0,
ET money,2025-07-12,1,0,0.0,0.0,0,
ET money,2025-07-11,2,0,0.0,0.0,0,
ET money,2025-07-10,3,0,0.0,0.0,0,
ET money,2025-07-08,2,0,0.0,0.0,0,
ET money,2025-07-07,4,0,0.0,0.0,0,
ET money,2025-07-03,1,0,0.0,0.0,0,
ET money,2025-07-01,1,0,0.0,0.0,0,
ET money,2025-06-29,1,0,0.0,0.0,0,
ET money,2025-06-28,2,0,0.0,0.0,0,
ET money,2025-06-27,1,0,0.0,0.0,0,
ET money,2025-06-24,1,0,0.0,0.0,0,
ET money,2025-06-23,1,0,0.0,0.0,0,
ET money,2025-06-21,1,0,0.0,0.0,0,
ET money,2025-06-20,1,0,0.0,0.0,0,
ET money,2025-06-19,1,0,0.0,0.0,0,
ET money,2025-06-18,1,0,0.0,0.0,0,
ET money,2025-06-14,2,0,0.0,0.0,0,
ET money,2025-06-12,1,0,0.0,0.0,0,
ET money,2025-06-05,1,0,0.0,0.0,0,
ET money,2025-06-04,2,0,0.0,0.0,0,
ET money,2025-05-29,2,0,0.0,0.0,0,
ET money,2025-05-28,1,0,0.0,0.0,0,
ET money,2025-05-26,1,0,0.0,0.0,0,
ET money,2025-05-25,2,0,0.0,0.0,0,
ET money,2025-05-24,2,0,0.0,0.0,0,
ET money,2025-05-23,2,0,0.0,0.0,0,
ET money,2025-05-22,2,0,0.0,0.0,0,
ET money,2025-05-21,2,0,0.0,0.0,0,
ET money,2025-05-19,1,0,0.0,0.0,0,
ET money,2025-05-18,5,0,0.0,0.0,0,
ET money,2025-05-17,1,0,0.0,0.0,0,
ET money,2025-05-16,1,0,0.0,0.0,0,
ET money,2025-05-11,1,0,0.0,0.0,0,
ET money,2025-05-06,2,0,0.0,0.0,0,
ET money,2025-05-05,1,0,0.0,0.0,0,
ET money,2025-05-04,1,0,0.0,0.0,0,
ET money,2025-05-03,1,0,0.0,0.0,0,
ET money,2025-05-02,3,0,0.0,0.0,0,
ET money,2025-05-01,1,0,0.0,0.0,0,
ET money,2025-04-30,1,0,0.0,0.0,0,
ET money,2025-04-29,1,0,0.0,0.0,0,
ET money,2025-04-28,1,0,0.0,0.0,0,
ET money,2025-04-25,1,0,0.0,0.0,0,
ET money,2025-04-23,2,0,0.0,0.0,0,
ET money,2025-04-21,1,0,0.0,0.0,0,
ET money,2025-04-19,1,0,0.0,0.0,0,
ET money,2025-04-18,4,0,0.0,0.0,0,
ET money,2025-04-16,1,0,0.0,0.0,0,
ET money,2025-04-15,3,0,0.0,0.0,0,
ET money,2025-04-13,3,0,0.0,0.0,0,
ET money,2025-04-11,1,0,0.0,0.0,0,
ET money,2025-04-09,1,0,0.0,0.0,0,
ET money,2025-04-02,2,0,0.0,0.0,0,
ET money,2025-03-31,1,0,0.0,0.0,0,
ET money,2025-03-28,2,0,0.0,0.0,0,
ET money,2025-03-27,1,0,0.0,0.0,0,
ET money,2025-03-26,1,0,0.0,0.0,0,
ET money,2025-03-25,2,0,0.0,0.0,0,
ET money,2025-03-22,1,0,0.0,0.0,0,
ET money,2025-03-20,2,0,0.0,0.0,0,
ET money,2025-03-18,1,0,0.0,0.0,0,
ET money,2025-03-17,1,0,0.0,0.0,0,
ET money,2025-03-09,2,0,0.0,0.0,0,
ET money,2025-03-06,1,0,0.0,0.0,0,
ET money,2025-03-05,1,0,0.0,0.0,0,
ET money,2025-03-04,1,0,0.0,0.0,0,
ET money,2025-03-02,1,0,0.0,0.0,0,
ET money,2025-03-01,1,0,0.0,0.0,0,
ET money,2025-02-28,2,0,0.0,0.0,0,
ET money,2025-02-27,1,0,0.0,0.0,0,
ET money,2025-02-23,1,0,0.0,0.0,0,
ET money,2025-02-22,3,0,0.0,0.0,0,
ET money,2025-02-19,1,0,0.0,0.0,0,
ET money,2025-02-16,2,0,0.0,0.0,0,
ET money,2025-02-15,2,0,0.0,0.0,0,
ET money,2025-02-14,1,0,0.0,0.0,0,
ET money,2025-02-13,1,0,0.0,0.0,0,
ET money,2025-02-05,1,0,0.0,0.0,0,
ET money,2025-02-03,1,0,0.0,0.0,0,
ET money,2025-01-27,1,0,0.0,0.0,0,
ET money,2025-01-25,2,0,0.0,0.0,0,
ET money,2025-01-23,1,0,0.0,0.0,0,
ET money,2025-01-19,1,0,0.0,0.0,0,
ET money,2025-01-16,2,0,0.0,0.0,0,
ET money,2025-01-13,1,0,0.0,0.0,0,
ET money,2025-01-11,1,0,0.0,0.0,0,
ET money,2025-01-07,1,0,0.0,0.0,0,
ET money,2025-01-06,1,0,0.0,0.0,0,
ET money,2025-01-05,1,0,0.0,0.0,0,
ET money,2025-01-02,1,0,0.0,0.0,0,
ET money,2025-01-01,1,0,0.0,0.0,0,
ET money,2024-12-31,2,0,0.0,0.0,0,
ET money,2024-12-30,1,0,0.0,0.0,0,
ET money,2024-12-27,1,0,0.0,0.0,0,
ET money,2024-12-23,2,0,0.0,0.0,0,
ET money,2024-12-16,1,0,0.0,0.0,0,
ET money,2024-12-13,1,0,0.0,0.0,0,
ET money,2024-12-10,1,0,0.0,0.0,0,
ET money,2024-12-09,1,0,0.0,0.0,0,
ET money,2024-12-08,2,0,0.0,0.0,0,
ET money,2024-12-06,1,0,0.0,0.0,0,
ET money,2024-12-05,2,0,0.0,0.0,0,
ET money,2024-11-29,1,0,0.0,0.0,0,
ET money,2024-11-25,1,0,0.0,0.0,0,
ET money,2024-11-23,1,0,0.0,0.0,0,
ET money,2024-11-18,1,0,0.0,0.0,0,
ET money,2024-11-10,1,0,0.0,0.0,0,
ET money,2024-11-06,1,0,0.0,0.0,0,
ET money,2024-11-04,1,0,0.0,0.0,0,
ET money,2024-10-31,2,0,0.0,0.0,0,
ET money,2024-10-25,1,0,0.0,0.0,0,
ET money,2024-10-16,1,0,0.0,0.0,0,
ET money,2024-10-12,1,0,0.0,0.0,0,
ET money,2024-10-10,1,0,0.0,0.0,0,
ET money,2024-10-08,1,0,0.0,0.0,0,
ET money,2024-10-03,3,0,0.0,0.0,0,
ET money,2024-10-01,1,0,0.0,0.0,0,
ET money,2024-09-26,2,0,0.0,0.0,0,
ET money,2024-09-25,1,0,0.0,0.0,0,
ET money,2024-09-10,1,0,0.0,0.0,0,
ET money,2024-09-05,1,0,0.0,0.0,0,
ET money,2024-09-04,1,0,0.0,0.0,0,
ET money,2024-09-01,2,0,0.0,0.0,0,
ET money,2024-08-29,1,0,0.0,0.0,0,
ET money,2024-08-22,1,0,0.0,0.0,0,
ET money,2024-08-20,1,0,0.0,0.0,0,
ET money,2024-08-14,1,0,0.0,0.0,0,
ET money,2024-08-12,2,0,0.0,0.0,0,
ET money,2024-08-04,1,0,0.0,0.0,0,
ET money,2024-08-03,1,0,0.0,0.0,0,
ET money,2024-08-02,2,0,0.0,0.0,0,
ET money,2024-07-30,1,0,0.0,0.0,0,
ET money,2024-07-28,1,0,0.0,0.0,0,
ET money,2024-07-26,1,0,0.0,0.0,0,
ET money,2024-07-23,1,0,0.0,0.0,0,
ET money,2024-07-22,1,0,0.0,0.0,0,
ET money,2024-07-19,1,0,0.0,0.0,0,
ET money,2024-07-18,1,0,0.0,0.0,0,
ET money,2024-07-17,2,0,0.0,0.0,0,
ET money,2024-07-14,1,0,0.0,0.0,0,
ET money,2024-07-10,1,0,0.0,0.0,0,
ET money,2024-07-09,1,0,0.0,0.0,0,
ET money,2024-07-07,1,0,0.0,0.0,0,
ET money,2024-07-05,1,0,0.0,0.0,0,
