partner,week,no_of_registrations,no_orders,aum,aov,fti_count,fti_amount
ET money,2025-09-15,12156,55,5950312.6505,108187.50273636365,61,8286899.9074
ET money,2025-09-08,777,3,328.6186,109.53953333333334,6,490027.4505
ET money,2025-09-01,6,5,101469.4456,20293.88912,1,109.5123
ET money,2025-08-25,6,0,0.0,0.0,0,
ET money,2025-08-18,5,0,0.0,0.0,0,
ET money,2025-08-11,3,0,0.0,0.0,0,
ET money,2025-08-04,6,0,0.0,0.0,0,
ET money,2025-07-28,8,0,0.0,0.0,0,
ET money,2025-07-21,6,0,0.0,0.0,0,
ET money,2025-07-14,7,0,0.0,0.0,0,
ET money,2025-07-07,13,0,0.0,0.0,0,
ET money,2025-06-30,2,0,0.0,0.0,0,
ET money,2025-06-23,6,0,0.0,0.0,0,
ET money,2025-06-16,4,0,0.0,0.0,0,
ET money,2025-06-09,3,0,0.0,0.0,0,
ET money,2025-06-02,3,0,0.0,0.0,0,
ET money,2025-05-26,4,0,0.0,0.0,0,
ET money,2025-05-19,11,0,0.0,0.0,0,
ET money,2025-05-12,7,0,0.0,0.0,0,
ET money,2025-05-05,4,0,0.0,0.0,0,
ET money,2025-04-28,8,0,0.0,0.0,0,
ET money,2025-04-21,5,0,0.0,0.0,0,
ET money,2025-04-14,9,0,0.0,0.0,0,
ET money,2025-04-07,5,0,0.0,0.0,0,
ET money,2025-03-31,3,0,0.0,0.0,0,
ET money,2025-03-24,6,0,0.0,0.0,0,
ET money,2025-03-17,5,0,0.0,0.0,0,
ET money,2025-03-03,5,0,0.0,0.0,0,
ET money,2025-02-24,5,0,0.0,0.0,0,
ET money,2025-02-17,5,0,0.0,0.0,0,
ET money,2025-02-10,6,0,0.0,0.0,0,
ET money,2025-02-03,2,0,0.0,0.0,0,
ET money,2025-01-27,1,0,0.0,0.0,0,
ET money,2025-01-20,3,0,0.0,0.0,0,
ET money,2025-01-13,4,0,0.0,0.0,0,
ET money,2025-01-06,3,0,0.0,0.0,0,
ET money,2024-12-30,6,0,0.0,0.0,0,
ET money,2024-12-23,3,0,0.0,0.0,0,
ET money,2024-12-16,1,0,0.0,0.0,0,
ET money,2024-12-09,3,0,0.0,0.0,0,
ET money,2024-12-02,5,0,0.0,0.0,0,
ET money,2024-11-25,2,0,0.0,0.0,0,
ET money,2024-11-18,2,0,0.0,0.0,0,
ET money,2024-11-04,3,0,0.0,0.0,0,
ET money,2024-10-28,2,0,0.0,0.0,0,
ET money,2024-10-21,1,0,0.0,0.0,0,
ET money,2024-10-14,1,0,0.0,0.0,0,
ET money,2024-10-07,3,0,0.0,0.0,0,
ET money,2024-09-30,3,0,0.0,0.0,0,
ET money,2024-09-23,3,0,0.0,0.0,0,
ET money,2024-09-09,1,0,0.0,0.0,0,
ET money,2024-09-02,2,0,0.0,0.0,0,
ET money,2024-08-26,3,0,0.0,0.0,0,
ET money,2024-08-19,2,0,0.0,0.0,0,
ET money,2024-08-12,3,0,0.0,0.0,0,
ET money,2024-07-29,5,0,0.0,0.0,0,
ET money,2024-07-22,4,0,0.0,0.0,0,
ET money,2024-07-15,3,0,0.0,0.0,0,
ET money,2024-07-08,3,0,0.0,0.0,0,
ET money,2024-07-01,3,0,0.0,0.0,0,
ET money,2024-06-24,2,0,0.0,0.0,0,
ET money,2024-06-17,3,0,0.0,0.0,0,
ET money,2024-06-10,4,0,0.0,0.0,0,
ET money,2024-06-03,2,0,0.0,0.0,0,
ET money,2024-05-27,2,0,0.0,0.0,0,
ET money,2024-05-20,1,0,0.0,0.0,0,
ET money,2024-05-13,4,0,0.0,0.0,0,
ET money,2024-04-29,2,0,0.0,0.0,0,
ET money,2024-04-15,1,0,0.0,0.0,0,
ET money,2024-04-08,6,0,0.0,0.0,0,
ET money,2024-04-01,2,0,0.0,0.0,0,
ET money,2024-03-25,4,0,0.0,0.0,0,
ET money,2024-03-11,3,0,0.0,0.0,0,
ET money,2024-03-04,2,0,0.0,0.0,0,
ET money,2024-02-26,3,0,0.0,0.0,0,
ET money,2024-02-19,3,0,0.0,0.0,0,
ET money,2024-02-12,1,0,0.0,0.0,0,
ET money,2024-02-05,1,0,0.0,0.0,0,
ET money,2024-01-29,2,0,0.0,0.0,0,
ET money,2024-01-15,3,0,0.0,0.0,0,
ET money,2024-01-01,2,0,0.0,0.0,0,
ET money,2023-12-25,3,0,0.0,0.0,0,
ET money,2023-12-18,4,0,0.0,0.0,0,
ET money,2023-12-11,1,0,0.0,0.0,0,
ET money,2023-12-04,1,0,0.0,0.0,0,
ET money,2023-11-27,3,0,0.0,0.0,0,
ET money,2023-11-13,2,0,0.0,0.0,0,
ET money,2023-10-30,1,0,0.0,0.0,0,
ET money,2023-10-16,5,0,0.0,0.0,0,
ET money,2023-10-09,2,0,0.0,0.0,0,
ET money,2023-10-02,2,0,0.0,0.0,0,
ET money,2023-09-25,2,0,0.0,0.0,0,
ET money,2023-09-18,1,0,0.0,0.0,0,
ET money,2023-09-11,1,0,0.0,0.0,0,
ET money,2023-09-04,2,0,0.0,0.0,0,
ET money,2023-08-28,2,0,0.0,0.0,0,
ET money,2023-08-21,2,0,0.0,0.0,0,
ET money,2023-08-14,2,0,0.0,0.0,0,
ET money,2023-08-07,2,0,0.0,0.0,0,
ET money,2023-07-31,2,0,0.0,0.0,0,
ET money,2023-07-24,1,0,0.0,0.0,0,
ET money,2023-07-17,1,0,0.0,0.0,0,
ET money,2023-07-10,1,0,0.0,0.0,0,
ET money,2023-07-03,1,0,0.0,0.0,0,
ET money,2023-06-26,1,0,0.0,0.0,0,
ET money,2023-06-12,1,0,0.0,0.0,0,
ET money,2023-06-05,2,0,0.0,0.0,0,
ET money,2023-05-29,3,0,0.0,0.0,0,
ET money,2023-05-22,2,0,0.0,0.0,0,
ET money,2023-05-15,2,0,0.0,0.0,0,
ET money,2023-05-08,2,0,0.0,0.0,0,
ET money,2023-05-01,2,0,0.0,0.0,0,
ET money,2023-04-24,1,0,0.0,0.0,0,
ET money,2023-04-17,4,0,0.0,0.0,0,
ET money,2023-04-10,1,0,0.0,0.0,0,
ET money,2023-04-03,3,0,0.0,0.0,0,
ET money,2023-03-27,3,0,0.0,0.0,0,
ET money,2023-03-20,2,0,0.0,0.0,0,
ET money,2023-03-13,1,0,0.0,0.0,0,
ET money,2023-03-06,2,0,0.0,0.0,0,
ET money,2023-02-27,7,0,0.0,0.0,0,
ET money,2023-02-20,2,0,0.0,0.0,0,
ET money,2023-02-06,2,0,0.0,0.0,0,
ET money,2023-01-30,1,0,0.0,0.0,0,
ET money,2023-01-23,6,0,0.0,0.0,0,
ET money,2023-01-16,2,0,0.0,0.0,0,
ET money,2023-01-02,7,0,0.0,0.0,0,
ET money,2022-12-26,6,0,0.0,0.0,0,
ET money,2022-12-19,4,0,0.0,0.0,0,
ET money,2022-12-12,4,0,0.0,0.0,0,
ET money,2022-12-05,3,0,0.0,0.0,0,
ET money,2022-11-28,2,0,0.0,0.0,0,
ET money,2022-11-21,2,0,0.0,0.0,0,
ET money,2022-11-14,3,0,0.0,0.0,0,
ET money,2022-11-07,10,0,0.0,0.0,0,
ET money,2022-10-31,4,0,0.0,0.0,0,
ET money,2022-10-24,2,0,0.0,0.0,0,
ET money,2022-10-17,3,0,0.0,0.0,0,
ET money,2022-10-10,5,0,0.0,0.0,0,
ET money,2022-10-03,7,0,0.0,0.0,0,
ET money,2022-09-26,3,0,0.0,0.0,0,
ET money,2022-09-19,4,0,0.0,0.0,0,
ET money,2022-09-12,10,0,0.0,0.0,0,
ET money,2022-09-05,4,0,0.0,0.0,0,
ET money,2022-08-29,6,0,0.0,0.0,0,
ET money,2022-08-22,3,0,0.0,0.0,0,
ET money,2022-08-15,4,0,0.0,0.0,0,
ET money,2022-08-08,4,0,0.0,0.0,0,
ET money,2022-08-01,10,0,0.0,0.0,0,
ET money,2022-07-25,3,0,0.0,0.0,0,
ET money,2022-07-18,6,0,0.0,0.0,0,
ET money,2022-07-11,4,0,0.0,0.0,0,
ET money,2022-07-04,15,0,0.0,0.0,0,
ET money,2022-06-27,15,0,0.0,0.0,0,
ET money,2022-06-20,6,0,0.0,0.0,0,
ET money,2022-06-13,2,0,0.0,0.0,0,
ET money,2022-06-06,8,0,0.0,0.0,0,
ET money,2022-05-30,26,0,0.0,0.0,0,
ET money,2022-05-23,5,0,0.0,0.0,0,
ET money,2022-05-16,5,0,0.0,0.0,0,
ET money,2022-05-09,9,0,0.0,0.0,0,
ET money,2022-05-02,5,0,0.0,0.0,0,
ET money,2022-04-25,8,0,0.0,0.0,0,
ET money,2022-04-18,9,0,0.0,0.0,0,
ET money,2022-04-11,3,0,0.0,0.0,0,
ET money,2022-04-04,4,0,0.0,0.0,0,
ET money,2022-03-28,7,0,0.0,0.0,0,
ET money,2022-03-21,12,0,0.0,0.0,0,
ET money,2022-03-14,4,0,0.0,0.0,0,
ET money,2022-03-07,7,0,0.0,0.0,0,
ET money,2022-02-28,6,0,0.0,0.0,0,
ET money,2022-02-21,10,0,0.0,0.0,0,
ET money,2022-02-14,14,0,0.0,0.0,0,
ET money,2022-02-07,10,0,0.0,0.0,0,
ET money,2022-01-31,11,0,0.0,0.0,0,
ET money,2022-01-24,10,0,0.0,0.0,0,
ET money,2022-01-17,13,0,0.0,0.0,0,
ET money,2022-01-10,19,0,0.0,0.0,0,
ET money,2022-01-03,22,0,0.0,0.0,0,
ET money,2021-12-27,9,0,0.0,0.0,0,
ET money,2021-12-20,9,0,0.0,0.0,0,
ET money,2021-12-13,5,0,0.0,0.0,0,
ET money,2021-12-06,6,0,0.0,0.0,0,
ET money,2021-11-29,1,0,0.0,0.0,0,
ET money,2021-11-22,5,0,0.0,0.0,0,
ET money,2021-11-15,4,0,0.0,0.0,0,
ET money,2021-11-08,8,0,0.0,0.0,0,
ET money,2021-11-01,8,0,0.0,0.0,0,
ET money,2021-10-25,5,0,0.0,0.0,0,
ET money,2021-10-18,3,0,0.0,0.0,0,
ET money,2021-10-11,6,0,0.0,0.0,0,
ET money,2021-10-04,7,0,0.0,0.0,0,
ET money,2021-09-27,3,0,0.0,0.0,0,
ET money,2021-09-20,8,0,0.0,0.0,0,
ET money,2021-09-13,8,0,0.0,0.0,0,
ET money,2021-09-06,8,0,0.0,0.0,0,
ET money,2021-08-30,4,0,0.0,0.0,0,
ET money,2021-08-23,6,0,0.0,0.0,0,
ET money,2021-08-16,7,0,0.0,0.0,0,
ET money,2021-08-09,1,0,0.0,0.0,0,
ET money,2021-08-02,9,0,0.0,0.0,0,
ET money,2021-07-26,7,0,0.0,0.0,0,
ET money,2021-07-19,5,0,0.0,0.0,0,
ET money,2021-07-12,3,0,0.0,0.0,0,
ET money,2021-07-05,4,0,0.0,0.0,0,
ET money,2021-06-28,3,0,0.0,0.0,0,
ET money,2021-06-21,5,0,0.0,0.0,0,
ET money,2021-06-14,2,0,0.0,0.0,0,
ET money,2021-06-07,7,0,0.0,0.0,0,
ET money,2021-05-31,7,0,0.0,0.0,0,
ET money,2021-05-24,6,0,0.0,0.0,0,
ET money,2021-05-17,5,0,0.0,0.0,0,
ET money,2021-05-10,5,0,0.0,0.0,0,
ET money,2021-05-03,3,0,0.0,0.0,0,
ET money,2021-04-26,1,0,0.0,0.0,0,
ET money,2021-04-19,1,0,0.0,0.0,0,
ET money,2021-04-12,6,0,0.0,0.0,0,
ET money,2021-04-05,3,0,0.0,0.0,0,
ET money,2021-03-29,5,0,0.0,0.0,0,
ET money,2021-03-22,3,0,0.0,0.0,0,
ET money,2021-03-08,1,0,0.0,0.0,0,
ET money,2021-02-22,2,0,0.0,0.0,0,
ET money,2021-02-15,1,0,0.0,0.0,0,
ET money,2021-02-08,2,0,0.0,0.0,0,
ET money,2021-02-01,3,0,0.0,0.0,0,
ET money,2021-01-25,1,0,0.0,0.0,0,
ET money,2021-01-18,3,0,0.0,0.0,0,
ET money,2021-01-11,3,0,0.0,0.0,0,
ET money,2020-12-21,1,0,0.0,0.0,0,
ET money,2020-12-07,1,0,0.0,0.0,0,
ET money,2020-11-30,1,0,0.0,0.0,0,
ET money,2020-11-23,1,0,0.0,0.0,0,
ET money,2020-10-19,1,0,0.0,0.0,0,
ET money,2020-10-12,1,0,0.0,0.0,0,
ET money,2020-07-13,1,0,0.0,0.0,0,
Paisa Bazaar,2026-05-11,3537,341,35785288.2,104942.19413489736,84,5062460.350000001
Paisa Bazaar,2026-05-04,3938,397,61863858.46000001,155828.35884130985,87,9337463.957600001
Paisa Bazaar,2026-04-27,3804,274,31507167.127400003,114989.66104890512,73,7474833.735399999
Paisa Bazaar,2026-04-20,3337,372,40590473.13090001,109114.17508306455,58,3705159.3219999997
Paisa Bazaar,2026-04-13,4092,354,37266133.3861,105271.56323757062,94,9412533.468700001
Paisa Bazaar,2026-04-06,4807,377,41446181.8909,109936.8219917772,99,11586971.2687
Paisa Bazaar,2026-03-30,4826,328,26759875.6519,81584.98674359756,93,6920022.6051
Paisa Bazaar,2026-03-23,4543,319,26512283.7846,83110.60747523511,99,6811221.0181
Paisa Bazaar,2026-03-16,5256,356,29491223.4498,82840.51530842697,117,9417136.8468
Paisa Bazaar,2026-03-09,6270,313,34784507.3732,111132.61141597443,77,7980755.000700001
Paisa Bazaar,2026-03-02,6479,358,34788434.11229999,97174.39696173182,96,9321062.8031
Paisa Bazaar,2026-02-23,5725,257,20927290.826700002,81429.14718560313,105,8927072.8361
Paisa Bazaar,2026-02-16,6047,260,24379602.055900007,93767.70021500003,104,7472939.462
Paisa Bazaar,2026-02-09,6260,276,20811883.8985,75405.37644384058,84,4986681.223
Paisa Bazaar,2026-02-02,8035,318,28679573.264400005,90187.33730943398,82,5475797.6364
Paisa Bazaar,2026-01-26,7519,360,28927263.6981,80353.5102725,116,8550188.423499998
Paisa Bazaar,2026-01-19,7973,343,32774213.441699997,95551.642687172,121,9294374.5716
Paisa Bazaar,2026-01-12,9946,415,33842597.2328,81548.42706698795,197,12732334.2432
Paisa Bazaar,2026-01-05,14088,250,20223290.2315,80893.160926,139,7050291.410400001
Paisa Bazaar,2025-12-29,9379,262,23538267.7209,89840.71649198473,99,8238542.528699999
Paisa Bazaar,2025-12-22,7980,283,32486112.883399997,114791.91831590104,99,6580641.904899999
Paisa Bazaar,2025-12-15,6914,213,10913840.4484,51238.68755117371,91,4862935.902599999
Paisa Bazaar,2025-12-08,8103,202,11784118.7079,58337.221326237624,83,4369140.987900001
Paisa Bazaar,2025-12-01,4135,189,10944160.506299999,57905.61114444444,68,4073923.5121999993
Paisa Bazaar,2025-11-24,2472,189,10287898.1451,54433.32351904762,76,3922191.5955999997
Paisa Bazaar,2025-11-17,4147,215,18060870.086300004,84004.04691302328,68,3711154.7747999993
Paisa Bazaar,2025-11-10,3228,198,17226974.117099997,87004.91978333332,64,4329818.7927
Paisa Bazaar,2025-11-03,3072,227,16119415.3908,71010.64048810572,80,5501760.3531
Paisa Bazaar,2025-10-27,3305,209,11888299.6537,56881.81652488038,95,4559328.072
Paisa Bazaar,2025-10-20,3335,284,11452221.155299999,40324.7223778169,117,4454198.683999999
Paisa Bazaar,2025-10-13,5178,215,9575018.4027,44534.96931488372,140,5031597.062
Paisa Bazaar,2025-10-06,3447,97,2940175.6111000003,30311.088774226806,41,1112195.4053999998
Paisa Bazaar,2025-09-29,3841,69,2670478.0819,38702.58089710145,54,2009591.2792999998
Paisa Bazaar,2025-09-22,2950,48,3353657.1481,69867.85725208333,23,1590812.2304
Paisa Bazaar,2025-09-15,3871,87,1745882.4881999998,20067.61480689655,33,981764.5114
Paisa Bazaar,2025-09-08,3216,47,2106644.7993,44822.229772340426,32,1409275.5505
Paisa Bazaar,2025-09-01,2758,45,1672615.0041999999,37169.222315555555,22,427395.8013
Paisa Bazaar,2025-08-25,2342,51,1798671.622,35268.07101960784,37,1445022.5835000002
Paisa Bazaar,2025-08-18,2767,55,4077467.0663,74135.76484181818,18,1249941.3661000002
Paisa Bazaar,2025-08-11,2408,40,1463907.9914000002,36597.699785000004,29,1009821.7790000002
Paisa Bazaar,2025-08-04,2331,42,1697732.6182,40422.20519523809,25,505542.72990000003
Paisa Bazaar,2025-07-28,4173,44,2065195.8259000003,46936.26877045455,23,697258.3077999998
Paisa Bazaar,2025-07-21,2406,36,2378394.46,66066.51277777778,23,771376.7969000001
Paisa Bazaar,2025-07-14,2706,39,2305784.3146,59122.67473333334,26,1777751.2933
Paisa Bazaar,2025-07-07,2357,54,944067.223,17482.726351851852,31,272012.6934
Paisa Bazaar,2025-06-30,2562,67,1017643.3581000001,15188.706837313433,38,678976.2579000001
Paisa Bazaar,2025-06-23,2793,55,548605.22,9974.640363636363,35,322388.58999999997
Paisa Bazaar,2025-06-16,3544,42,409886.61,9759.205,32,197103.9
Paisa Bazaar,2025-06-09,3884,44,453244.13,10301.002954545454,26,400543.81
Paisa Bazaar,2025-06-02,3160,17,54072.590000000004,3180.740588235294,21,155380.75
Paisa Bazaar,2025-05-26,2103,19,135746.63,7144.55947368421,11,41246.94999999999
Paisa Bazaar,2025-05-19,1593,10,11363.02,1136.3020000000001,11,8843.51
Paisa Bazaar,2025-05-12,318,2,2051.49,1025.745,2,4156.61
Paisa Bazaar,2025-05-05,8,4,12894.97,3223.7425,1,1001.94
Paisa Bazaar,2025-04-28,5,0,0.0,0.0,0,
Paisa Bazaar,2025-04-21,7,0,0.0,0.0,0,
Paisa Bazaar,2025-04-14,4,0,0.0,0.0,0,
Paisa Bazaar,2025-04-07,3,0,0.0,0.0,0,
Paisa Bazaar,2025-03-31,4,0,0.0,0.0,0,
Paisa Bazaar,2025-03-17,3,0,0.0,0.0,0,
Paisa Bazaar,2025-03-10,4,0,0.0,0.0,0,
Paisa Bazaar,2025-03-03,2,0,0.0,0.0,0,
Paisa Bazaar,2025-02-24,3,0,0.0,0.0,0,
Paisa Bazaar,2025-02-17,2,0,0.0,0.0,0,
Paisa Bazaar,2025-02-10,3,0,0.0,0.0,0,
Paisa Bazaar,2025-02-03,1,0,0.0,0.0,0,
Paisa Bazaar,2025-01-27,2,0,0.0,0.0,0,
Paisa Bazaar,2025-01-20,2,0,0.0,0.0,0,
Paisa Bazaar,2025-01-13,1,0,0.0,0.0,0,
Paisa Bazaar,2025-01-06,3,0,0.0,0.0,0,
Paisa Bazaar,2024-12-23,5,0,0.0,0.0,0,
Paisa Bazaar,2024-12-16,1,0,0.0,0.0,0,
Paisa Bazaar,2024-12-09,2,0,0.0,0.0,0,
Paisa Bazaar,2024-12-02,4,0,0.0,0.0,0,
Paisa Bazaar,2024-11-25,3,0,0.0,0.0,0,
Paisa Bazaar,2024-11-18,3,0,0.0,0.0,0,
Paisa Bazaar,2024-11-11,3,0,0.0,0.0,0,
Paisa Bazaar,2024-11-04,3,0,0.0,0.0,0,
Paisa Bazaar,2024-10-28,1,0,0.0,0.0,0,
Paisa Bazaar,2024-10-21,1,0,0.0,0.0,0,
Paisa Bazaar,2024-10-14,4,0,0.0,0.0,0,
Paisa Bazaar,2024-10-07,2,0,0.0,0.0,0,
Paisa Bazaar,2024-09-30,2,0,0.0,0.0,0,
Paisa Bazaar,2024-09-23,3,0,0.0,0.0,0,
Paisa Bazaar,2024-09-16,4,0,0.0,0.0,0,
Paisa Bazaar,2024-09-09,1,0,0.0,0.0,0,
Paisa Bazaar,2024-09-02,5,0,0.0,0.0,0,
Paisa Bazaar,2024-08-26,6,0,0.0,0.0,0,
Paisa Bazaar,2024-08-19,6,0,0.0,0.0,0,
Paisa Bazaar,2024-08-12,5,0,0.0,0.0,0,
Paisa Bazaar,2024-08-05,2,0,0.0,0.0,0,
Paisa Bazaar,2024-07-29,3,0,0.0,0.0,0,
Paisa Bazaar,2024-07-15,4,0,0.0,0.0,0,
Paisa Bazaar,2024-07-08,6,0,0.0,0.0,0,
Paisa Bazaar,2024-07-01,1,0,0.0,0.0,0,
Paisa Bazaar,2024-06-24,4,0,0.0,0.0,0,
Paisa Bazaar,2024-06-17,3,0,0.0,0.0,0,
Paisa Bazaar,2024-06-10,4,0,0.0,0.0,0,
Paisa Bazaar,2024-06-03,4,0,0.0,0.0,0,
Paisa Bazaar,2024-05-27,5,0,0.0,0.0,0,
Paisa Bazaar,2024-05-20,6,0,0.0,0.0,0,
Paisa Bazaar,2024-05-13,10,0,0.0,0.0,0,
Paisa Bazaar,2024-05-06,5,0,0.0,0.0,0,
Paisa Bazaar,2024-04-29,4,0,0.0,0.0,0,
Paisa Bazaar,2024-04-22,3,0,0.0,0.0,0,
Paisa Bazaar,2024-04-15,3,0,0.0,0.0,0,
Paisa Bazaar,2024-04-08,5,0,0.0,0.0,0,
Paisa Bazaar,2024-04-01,3,0,0.0,0.0,0,
Paisa Bazaar,2024-03-25,5,0,0.0,0.0,0,
Paisa Bazaar,2024-03-18,5,0,0.0,0.0,0,
Paisa Bazaar,2024-03-11,7,0,0.0,0.0,0,
Paisa Bazaar,2024-03-04,4,0,0.0,0.0,0,
Paisa Bazaar,2024-02-26,4,0,0.0,0.0,0,
Paisa Bazaar,2024-02-19,6,0,0.0,0.0,0,
Paisa Bazaar,2024-02-12,4,0,0.0,0.0,0,
Paisa Bazaar,2024-02-05,2,0,0.0,0.0,0,
Paisa Bazaar,2024-01-29,3,0,0.0,0.0,0,
Paisa Bazaar,2024-01-22,1,0,0.0,0.0,0,
Paisa Bazaar,2024-01-15,4,0,0.0,0.0,0,
Paisa Bazaar,2024-01-08,1,0,0.0,0.0,0,
Paisa Bazaar,2024-01-01,2,0,0.0,0.0,0,
Paisa Bazaar,2023-12-25,2,0,0.0,0.0,0,
Paisa Bazaar,2023-12-18,2,0,0.0,0.0,0,
Paisa Bazaar,2023-12-04,1,0,0.0,0.0,0,
Paisa Bazaar,2023-11-27,2,0,0.0,0.0,0,
Paisa Bazaar,2023-11-20,3,0,0.0,0.0,0,
Paisa Bazaar,2023-11-13,3,0,0.0,0.0,0,
Paisa Bazaar,2023-11-06,1,0,0.0,0.0,0,
Paisa Bazaar,2023-10-30,2,0,0.0,0.0,0,
Paisa Bazaar,2023-10-23,2,0,0.0,0.0,0,
Paisa Bazaar,2023-10-16,1,0,0.0,0.0,0,
Paisa Bazaar,2023-08-28,2,0,0.0,0.0,0,
Paisa Bazaar,2023-08-21,3,0,0.0,0.0,0,
Paisa Bazaar,2023-08-07,1,0,0.0,0.0,0,
Paisa Bazaar,2023-07-24,4,0,0.0,0.0,0,
Paisa Bazaar,2023-07-17,2,0,0.0,0.0,0,
Paisa Bazaar,2023-06-26,1,0,0.0,0.0,0,
Paisa Bazaar,2023-06-19,1,0,0.0,0.0,0,
Paisa Bazaar,2023-06-05,1,0,0.0,0.0,0,
Paisa Bazaar,2023-05-15,1,0,0.0,0.0,0,
Paisa Bazaar,2023-05-01,2,0,0.0,0.0,0,
Paisa Bazaar,2023-04-17,2,0,0.0,0.0,0,
Paisa Bazaar,2023-04-10,1,0,0.0,0.0,0,
Paisa Bazaar,2023-03-20,1,0,0.0,0.0,0,
Paisa Bazaar,2023-02-27,5,0,0.0,0.0,0,
Paisa Bazaar,2023-02-20,1,0,0.0,0.0,0,
Paisa Bazaar,2023-01-30,1,0,0.0,0.0,0,
Paisa Bazaar,2023-01-23,2,0,0.0,0.0,0,
Paisa Bazaar,2023-01-16,1,0,0.0,0.0,0,
Paisa Bazaar,2023-01-09,3,0,0.0,0.0,0,
Paisa Bazaar,2022-12-26,1,0,0.0,0.0,0,
Paisa Bazaar,2022-12-19,4,0,0.0,0.0,0,
Paisa Bazaar,2022-12-12,2,0,0.0,0.0,0,
Paisa Bazaar,2022-12-05,6,0,0.0,0.0,0,
Paisa Bazaar,2022-11-28,2,0,0.0,0.0,0,
Paisa Bazaar,2022-11-21,6,0,0.0,0.0,0,
Paisa Bazaar,2022-11-14,8,0,0.0,0.0,0,
Paisa Bazaar,2022-11-07,7,0,0.0,0.0,0,
Paisa Bazaar,2022-10-31,9,0,0.0,0.0,0,
Paisa Bazaar,2022-10-24,4,0,0.0,0.0,0,
Paisa Bazaar,2022-10-17,10,0,0.0,0.0,0,
Paisa Bazaar,2022-10-10,5,0,0.0,0.0,0,
Paisa Bazaar,2022-10-03,4,0,0.0,0.0,0,
Paisa Bazaar,2022-09-26,3,0,0.0,0.0,0,
Paisa Bazaar,2022-09-19,5,0,0.0,0.0,0,
Paisa Bazaar,2022-09-12,9,0,0.0,0.0,0,
Paisa Bazaar,2022-09-05,7,0,0.0,0.0,0,
Paisa Bazaar,2022-08-29,3,0,0.0,0.0,0,
Paisa Bazaar,2022-08-22,5,0,0.0,0.0,0,
Paisa Bazaar,2022-08-15,3,0,0.0,0.0,0,
Paisa Bazaar,2022-08-08,4,0,0.0,0.0,0,
Paisa Bazaar,2022-08-01,7,0,0.0,0.0,0,
Paisa Bazaar,2022-07-25,9,0,0.0,0.0,0,
Paisa Bazaar,2022-07-18,5,0,0.0,0.0,0,
Paisa Bazaar,2022-07-11,5,0,0.0,0.0,0,
Paisa Bazaar,2022-07-04,10,0,0.0,0.0,0,
